序号,原始类别,大类,影响度
155,北京菜,商业服务业设施用地,2
156,韩国料理,商业服务业设施用地,2
157,KTV,商业服务业设施用地,20
158,健身中心,商业服务业设施用地,20
159,咖啡厅,商业服务业设施用地,2
160,自助,商业服务业设施用地,2
161,儿童用品店,商业服务业设施用地,5
162,湖南菜,商业服务业设施用地,2
163,夜店,商业服务业设施用地,20
164,西餐厅,商业服务业设施用地,2
165,二手车交易,商业服务业设施用地,20
166,洗车场,商业服务业设施用地,5
167,旧货市场,商业服务业设施用地,10
168,药店,商业服务业设施用地,20
169,游戏厅,商业服务业设施用地,10
170,酒吧,商业服务业设施用地,20
171,巴西菜,商业服务业设施用地,2
172,汽车租赁,商业服务业设施用地,20
173,迪厅,商业服务业设施用地,20
174,台球厅,商业服务业设施用地,10
175,古玩字画店,商业服务业设施用地,5
176,游乐场,商业服务业设施用地,30
177,摄影器材店,商业服务业设施用地,5
178,老字号,商业服务业设施用地,20
179,特色商业街,商业服务业设施用地,40
180,高尔夫相关,商业服务业设施用地,40
181,浙江菜,商业服务业设施用地,2
182,4S店,商业服务业设施用地,30
183,宠物用品店,商业服务业设施用地,5
184,跆拳道场馆,商业服务业设施用地,10
185,旅游咨询,商业服务业设施用地,10
186,外国餐厅,商业服务业设施用地,2
187,上海菜,商业服务业设施用地,2
188,台湾菜,商业服务业设施用地,2
189,维修机构,商业服务业设施用地,10
190,棋牌室,商业服务业设施用地,10
191,云贵菜,商业服务业设施用地,2
192,意式菜品餐厅,商业服务业设施用地,2
193,熟食,商业服务业设施用地,2
194,零食,商业服务业设施用地,2
195,快递,商业服务业设施用地,20
196,飞机票代售点,商业服务业设施用地,5
197,西北菜,商业服务业设施用地,2
198,火车票代售点,商业服务业设施用地,5
199,汽车俱乐部,商业服务业设施用地,10
200,福建菜,商业服务业设施用地,2
201,公交卡／月票代售点,商业服务业设施用地,5
202,保龄球馆,商业服务业设施用地,20
203,乒乓球馆,商业服务业设施用地,10
204,湖北菜,商业服务业设施用地,2
205,中式素餐馆,商业服务业设施用地,2
206,江苏菜,商业服务业设施用地,2
207,售票处,商业服务业设施用地,20
208,溜冰场,商业服务业设施用地,20
209,一般地点标志,未知,0
210,未知分类,未知,0
211,其他,未知,0
212,大门,未知,0
213,楼宇大门,未知,0
214,无中心点楼宇大门,未知,0
