poiid,title,address,lon,lat,city,category_sec,DaLei,Power
B2094656D06CA3FE4492,南营桥,,113.94082,38.65056,0311,公园户外,绿地与广场用地,60
B2094454D16DA7FB429C,香格里拉,河北省 石家庄市 香格里拉,113.79245,38.60628,0311,公司,工业用地,40
B2094751D568A6F8469B,黑山大峡谷影视厅,黑山关村,113.597298,38.551455,0311,电影院,商业服务业设施用地,20
B2094753DB65A3FD4199,黑山大峡谷,河北省 石家庄市 石家庄市平山县,113.602958,38.549945,0311,未知分类,未知,0
B2094450D16DA2F9499D,峡谷农家乐,河北省 石家庄市 河北省平山县营里乡黑山大峡谷,113.60702,38.55189,0311,出行住宿,商业服务业设施用地,4
B2094450D16DA2FA419E,革命圣地西柏坡,河北省 石家庄市 河北省平山县西柏坡,113.60702,38.55188,0311,一般地点标志,未知,0
B2094450D16DA2FA409D,西柏坡,河北省 石家庄市 河北省平山县西柏坡,113.60702,38.55188,0311,一般地点标志,未知,0
B2094656D365A2F4449D,中国移动行唐玉亭乡合作厅,,114.51884,38.50643,0311,电讯营业厅,商业服务业设施用地,10
B2094753D668A6FB459F,河北省中医院,河北省 石家庄市 长安区中山东路389号,114.53707,38.440234,0311,医院,公共管理与公共服务设施用地,90
B2094454D064A2FA4799,行唐县棉仓街,河北省 石家庄市 行唐县棉仓街41号,114.436752,38.460384,0311,楼宇机构,商业服务业设施用地,30
B2094656D364AAFD429B,郜河大桥,,114.4976,38.45982,0311,公园户外,绿地与广场用地,60
B2094656D364AAFC479A,行唐收费站,,114.50997,38.47796,0311,收费站,道路与交通设施用地,20
B2094454DA6FAAF9499D,李阳关卫生室,河北省 石家庄市 河北省石家庄市行唐县李阳关村,114.51276,38.50111,0311,公园户外,绿地与广场用地,60
B2094455DA65ABF54693,猫咪爱睡的沙发床窝里,河北省 石家庄市 东海  风车村,114.55201,38.50803,0311,一般地点标志,未知,0
B2094455DB6CA5F54892,河边,河北省 石家庄市 河北省石家庄市,114.49054,38.45149,0311,生活娱乐,商业服务业设施用地,4
B2094456D26CA2FD469A,被窝,河北省 石家庄市 河北省石家庄市行唐县东瓦仁村,114.48507,38.42643,0311,生活娱乐,商业服务业设施用地,4
B2094457D064A7FA4898,天堂,河北省 石家庄市 彩虹一号,114.48692,38.49513,0311,楼宇机构,商业服务业设施用地,30
B2094457D065A2F94892,石家庄,河北省 石家庄市 世纪公园,114.43535,38.42025,0311,公园户外,绿地与广场用地,60
B2094752D26AA2FB419D,河北省行唐县御城花园,,114.536093,38.436829,0311,住宅区,居住用地,70
B2094450D06FA3F4419E,龙州供电所,河北省 石家庄市 龙州大街西头往北,114.52343,38.4573,0311,公司,工业用地,40
B2094450D06AAAFF419F,机场区,河北省 石家庄市 北京西站,114.45163,38.43237,0311,公司,工业用地,40
B2094450D66AA4FF4198,京昆高速,河北省 石家庄市 G5,114.51188,38.47566,0311,一般地点标志,未知,0
B2094450D76DA2FB449C,鹿泉市职教中心,河北省 石家庄市 鹿泉市,114.48571,38.4435,0311,校园生活,公共管理与公共服务设施用地,50
B2094656D365A3FC4598,行唐县玉城中学,,114.54089,38.44208,0311,中学,公共管理与公共服务设施用地,60
B2094455DB6DA0F5469C,宋营小学,河北省 石家庄市 河北省石家庄市行唐县,114.39612,38.43248,0311,一般地点标志,未知,0
B2094456D064A6FF4892,伤心地,河北省 石家庄市 伤心地,114.38085,38.44759,0311,一般地点标志,未知,0
B2094457D06AA2FB479C,衡山湖景区,河北省 石家庄市 灵寿县,114.33961,38.42739,0311,公园户外,绿地与广场用地,60
B2094457D16EA7FF4998,石家庄,河北省 石家庄市 天山海世界,114.40621,38.46055,0311,生活娱乐,商业服务业设施用地,4
B2094450D06BAAF8469B,地点,河北省 石家庄市 小区,114.32742,38.45106,0311,一般地点标志,未知,0
B2094450D168A2FC499C,石家庄市行唐县,河北省 石家庄市 。,114.40864,38.46357,0311,一般地点标志,未知,0
B2094450D168A2FC499A,。,河北省 石家庄市 石家庄市行唐县,114.40864,38.46357,0311,一般地点标志,未知,0
B2094450D66AA1FA419B,灵魂,河北省 石家庄市 慈河,114.33366,38.47411,0311,生活娱乐,商业服务业设施用地,4
B2094656D06CA3FE459A,慈河大桥,,114.32061,38.47648,0311,公园户外,绿地与广场用地,60
B2094753D068ABFF4993,白子玄彩妆婚纱,桥西区中山西路佳泰大厦1009室(近师范街),114.25781,38.47939,0311,公司,工业用地,40
B2094457D06CA0F94699,你若在,河北省 石家庄市 巴黎,114.16621,38.40069,0311,校园生活,公共管理与公共服务设施用地,50
B2094457D169A1FA409B,黑山大峡谷,河北省 石家庄市 平山县,114.23431,38.48038,0311,出行住宿,商业服务业设施用地,4
B2094457D169A4FA429A,好困,河北省 石家庄市 海角一号,114.26569,38.47899,0311,公园户外,绿地与广场用地,60
B2094656D365A5FA449E,中国移动平山王坡乡营业厅,,114.13507,38.44927,0311,电讯营业厅,商业服务业设施用地,10
B2094656D365A6F54899,南滚龙沟风景区,,113.95015,38.47098,0311,公园户外,绿地与广场用地,60
B2094751D364A2F4449C,林山石窟,平山县三汲乡林山,113.750911,38.437174,0311,一般景点,绿地与广场用地,50
B2094753D06BA3FE449F,长鹿加油站,近郊平山县杨家桥乡康庄村北,113.66519,38.40485,0311,加油站,道路与交通设施用地,20
B2094753D06BA3FE4192,石清加油站,近郊平山县小觉镇清水口村,113.6918,38.40296,0311,加油站,道路与交通设施用地,20
B2094656D06CA3FE4493,策城桥,,114.13404,38.42266,0311,公园户外,绿地与广场用地,60
B2094656D365A7FD449B,谷青炭完小,,114.14911,38.45666,0311,小学,公共管理与公共服务设施用地,50
B2094656D365A0FF4999,王坡信用社,,114.13491,38.44965,0311,银行,商业服务业设施用地,40
B2094656D06CA3FE459F,东北岸中桥,,113.99562,38.4771,0311,公园户外,绿地与广场用地,60
B2094656D365A4FE469A,青松小学,,113.9635,38.47536,0311,小学,公共管理与公共服务设施用地,50
B2094751DB6DA6FD4898,西柏坡纪念馆餐厅,近郊平山县,113.85972,38.40197,0311,河北菜,商业服务业设施用地,2
B2094753D06AAAFD459A,平山县中医院,近郊平山县南街,113.85972,38.40197,0311,医院,公共管理与公共服务设施用地,90
B2094753D06AAAFC479F,平山县第二人民医院,近郊平山县古月,113.85972,38.40197,0311,医院,公共管理与公共服务设施用地,90
B2094656D364AAFD4193,长桑大桥,,113.87059,38.35995,0311,公园户外,绿地与广场用地,60
B2094656D368A0FE4993,西柏坡湖,,113.86458,38.34594,0311,公园户外,绿地与广场用地,60
B2094454D769A7F8449A,石家庄市太行庄园,河北省 石家庄市 50号,113.87068,38.35656,0311,一般地点标志,未知,0
B2094457D36FA4FD4398,驼粱山,河北省 石家庄市 河北省石家庄市平山县,113.80509,38.37647,0311,出行住宿,商业服务业设施用地,4
B2094450D16EA1FB489F,洪州城,河北省 石家庄市 河北省石家庄市洪州城,113.88769,38.3061,0311,出行住宿,商业服务业设施用地,4
B2094450D16FABF9469F,河北省平山县,河北省 石家庄市 康乐街,113.88273,38.29456,0311,一般地点标志,未知,0
B2094454D065A7FC4798,佛光山,河北省 石家庄市 石家庄市平山县,113.752662,38.282661,0311,一般地点标志,未知,0
B2094656D365A3F4459B,回舍邮政支局,,114.10725,38.26564,0311,生活娱乐,商业服务业设施用地,4
B2094753D364A0FB449F,中国农业银行(回舍分理处),近郊东回舍镇东回舍村商品街17号,114.09517,38.254,0311,银行,商业服务业设施用地,40
B2094753D06AABF5469E,平山县人民医院,近郊平山县东回舍镇,114.09512,38.25419,0311,医院,公共管理与公共服务设施用地,90
B2094753D06AA2FD4599,孙庄九莲洞加油站,近郊井陉矿区孙庄大桥,114.13979,38.1457,0311,加油站,道路与交通设施用地,20
B2094753DA6EA3F44599,阳光河谷,平山温塘镇东侧,114.001436,38.260626,0311,住宅区,居住用地,70
B2094753DA6EA3F4439D,卡纳小镇,石闫公路与温塘河口,114.00547,38.259413,0311,住宅区,居住用地,70
B2094454D16DA0FA4193,石家庄,河北省 石家庄市 石家庄市,114.097801,38.265735,0311,一般地点标志,未知,0
B2094454D16BA6FA4498,江西省鄱阳县,河北省 石家庄市 江西省鄱阳县,114.0866,38.26184,0311,一般地点标志,未知,0
B2094454D164A6F9459F,自己心里,河北省 石家庄市 路上,114.09652,38.25336,0311,生活娱乐,商业服务业设施用地,4
B2094454D769A6F8419E,我的小窝,河北省 石家庄市 床上,114.13801,38.1321,0311,生活娱乐,商业服务业设施用地,4
B2094454DA6FAAFC439B,感情让我成熟,河北省 石家庄市 D95Cpsp43,113.99307,38.20573,0311,一般地点标志,未知,0
B2094455DA65A2F54198,无聊,河北省 石家庄市 镁,114.1385,38.15195,0311,一般地点标志,未知,0
B2094457D36FA1FE409B,私人别墅,河北省 石家庄市 石家庄,113.9808,38.25003,0311,一般地点标志,未知,0
B2094457D36FA1FD4998,私人别墅,河北省 石家庄市 石家庄,113.9808,38.25003,0311,一般地点标志,未知,0
B2094457D365A4FB4693,难过的路边,河北省 石家庄市 井陉,114.14011,38.12567,0311,一般地点标志,未知,0
B2094457D06FA3F9449B,南京青奥会,河北省 石家庄市 南京,114.14011,38.12567,0311,一般地点标志,未知,0
B2094457D06FA7F84092,石家庄市平山县,河北省 石家庄市 孟耳庄,114.09512,38.26827,0311,楼宇机构,商业服务业设施用地,30
B2094457D16FA7FA4498,昆明市,河北省 石家庄市 昆明市官渡区美景新城,114.13854,38.13198,0311,一般地点标志,未知,0
B2094457D16FA7FB409B,官渡区美景新城,河北省 石家庄市 官渡区美景新城,114.13854,38.13198,0311,一般地点标志,未知,0
B2094457D16FA7FA499C,美景新城,河北省 石家庄市 官渡区美景新城,114.13854,38.13198,0311,一般地点标志,未知,0
B2094450D16FA0FD4799,找到我向往的地方,河北省 石家庄市 找到我向往的地方,113.98939,38.25596,0311,生活娱乐,商业服务业设施用地,4
B2094752D269A5FD489C,西柏坡滑雪场,温塘,113.975533,38.213841,0311,生活娱乐,商业服务业设施用地,4
B2094656D364A5FA429B,平山西柏坡站,平山镇,114.08704,38.26321,0311,火车站,道路与交通设施用地,85
B2094656D06CA3F94198,西柏坡-天桂山风景名胜区,,113.74034,38.26028,0311,公园户外,绿地与广场用地,60
B2094656D364AAFC469D,平山收费站,,113.62261,38.24421,0311,收费站,道路与交通设施用地,20
B209475DD16FA0FD429A,石家庄,河北省 石家庄市 石家庄,113.620864,38.250144,0311,未知分类,未知,0
B2094455DA69A0F4469D,。,河北省 石家庄市 北京,113.6522,38.2681,0311,生活娱乐,商业服务业设施用地,4
B2094457D06AA2F8499D,银河洞,河北省 石家庄市 天桂山景区,113.73622,38.26332,0311,一般地点标志,未知,0
B2094656D364AAF54393,世外桃源度假村,,113.79806,38.24721,0311,度假疗养场所,商业服务业设施用地,40
B2094656D364AAFA4793,天桂山宾馆,近郊平山县天桂山景区,113.74263,38.25314,0311,公园户外,绿地与广场用地,60
B2094751D568A6F8469A,沕沕水生态风景区影视厅,,113.766528,38.205536,0311,电影院,商业服务业设施用地,20
B2094753DB69ABF44698,沕沕水,河北省 石家庄市 平山縣,113.762275,38.202999,0311,未知分类,未知,0
B2094454D16DA4F54592,瑜伽山,河北省 石家庄市 平山县北冶乡南冶村,113.80386,38.21657,0311,公园户外,绿地与广场用地,60
B2094455DB6CA7F5439B,甘秋,河北省 石家庄市 平山,113.91129,38.23008,0311,一般地点标志,未知,0
B2094455DB6CA7F54293,甘秋,河北省 石家庄市 平山,113.91129,38.23008,0311,一般地点标志,未知,0
B2094455DB6DA7FA4999,淴淴水,河北省 石家庄市 平山北,113.79902,38.19881,0311,公园户外,绿地与广场用地,60
