序号,原始类别,大类,影响度
159,垂钓园,绿地与广场用地,40
160,教育出国类公司,工业用地,40
161,文化体育类公司,工业用地,40
162,医疗健康类公司,工业用地,50
163,敬老院,公共管理与公共服务设施用地,50
164,食品饮料类公司,工业用地,40
165,运动场所,公共管理与公共服务设施用地,50
166,网球场,公共管理与公共服务设施用地,30
167,摄影器材店,商业服务业设施用地,5
168,消防,公共管理与公共服务设施用地,70
169,电台,公共管理与公共服务设施用地,50
170,老字号,商业服务业设施用地,20
171,特色商业街,商业服务业设施用地,40
172,大门,未知,0
173,楼宇大门,未知,0
174,美术馆,公共管理与公共服务设施用地,60
175,游泳馆,公共管理与公共服务设施用地,50
176,高尔夫相关,商业服务业设施用地,40
177,浙江菜,商业服务业设施用地,2
178,三甲医院,公共管理与公共服务设施用地,80
179,出版社,公共管理与公共服务设施用地,50
180,4S店,商业服务业设施用地,30
181,宠物用品店,商业服务业设施用地,5
182,跆拳道场馆,商业服务业设施用地,10
183,科技馆,公共管理与公共服务设施用地,70
184,旅游咨询,商业服务业设施用地,10
185,外国餐厅,商业服务业设施用地,2
186,上海菜,商业服务业设施用地,2
187,台湾菜,商业服务业设施用地,2
188,著名地点,公共管理与公共服务设施用地,70
189,维修机构,商业服务业设施用地,10
190,棋牌室,商业服务业设施用地,10
191,云贵菜,商业服务业设施用地,2
192,意式菜品餐厅,商业服务业设施用地,2
193,熟食,商业服务业设施用地,2
194,零食,商业服务业设施用地,2
195,快递,商业服务业设施用地,20
196,飞机票代售点,商业服务业设施用地,5
197,羽毛球场,公共管理与公共服务设施用地,30
198,档案馆,公共管理与公共服务设施用地,40
199,杂志社,公共管理与公共服务设施用地,40
200,西北菜,商业服务业设施用地,2
201,火车票代售点,商业服务业设施用地,5
202,汽车俱乐部,商业服务业设施用地,10
203,福建菜,商业服务业设施用地,2
204,公交卡／月票代售点,商业服务业设施用地,5
205,保龄球馆,商业服务业设施用地,20
206,乒乓球馆,商业服务业设施用地,10
207,植物园,公共管理与公共服务设施用地,70
208,湖北菜,商业服务业设施用地,2
209,中式素餐馆,商业服务业设施用地,2
210,江苏菜,商业服务业设施用地,2
211,无中心点楼宇大门,未知,0
212,售票处,商业服务业设施用地,20
213,溜冰场,商业服务业设施用地,20
214,海滨浴场,绿地与广场用地,60
