OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster,Ndist
9307,B2094752D26CABFA4399,酷风饮品,裕华区槐安路万达广场3楼大玩家超乐场内(建华大街口),114.54716,38.02273,311,餐饮美食,0,0,餐饮,其它,0,16.600001475782115
9308,B2094752D26DA7F9439A,老成都担担面馆,裕华区槐北路(河北宾馆西侧),114.52756,38.03001,311,快餐厅,0,0,餐饮,小吃快餐,0,17.211956064395103
9309,B2094751DB6BAAF5499E,福顺酒楼,富强大街与槐安路交口北行300米路西,114.52333,38.01963,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
9310,B2094751DB64A3F9499D,广味养生粥,裕华区东岗路藏龙福地1号商铺(近裕华公安分局),114.53271,38.02785,311,广东菜,0,0,餐饮,中式餐饮,0,31.450593822773115
9311,B2094751DB64A2FE4493,灶王爷饺子楼,裕华区翟营南大街(方兴路口北侧),114.55513,38.00956,311,东北菜,4,4,餐饮,中式餐饮,0,0.0
9312,B2094751DB64A2FE489C,乐喜龙虾,近郊正定县恒州北街正华花园东门附近(近小商品城),114.56431,38.15904,311,烧烤,0,0,餐饮,中式餐饮,0,125.34415742953557
9313,B2094751DB64A0FA439F,今麦郎拉面,新华区和平西路246号(近省人民医院北门),114.47515,38.05795,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0,28.206887987474122
9314,B2094751DB6BA6FD489A,和路雪(新一源便利店),长安区和平路盛世长安小区楼下,114.5501,38.05428,311,甜品店,0,0,餐饮,甜点饮品,0,3.4417249478460614
9315,B2094751DB6BA6FF429E,精进素食料理餐厅,新华区和平西路315号,114.4733,38.0586,311,餐饮美食,0,0,餐饮,其它,0,6.843582082434534
9316,B2094751DB6BA6FF4598,赵记牛肉,裕华区雅清街藏龙福地底商14号(东岗路口北侧路西),114.56697,38.01114,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9317,B2094751DB6BA6F54092,随心商店,桥东区东幸福路,114.5176,38.08466,311,甜品店,0,0,餐饮,甜点饮品,0,87.0426202442802
9318,B2094751DB6BA6F5429B,浪莎连裤袜自提地址,长安区中山东路先天下广场开元大厦1604室,114.5266,38.04225,311,甜品店,0,0,餐饮,甜点饮品,0,1.415387552035144
9319,B2094751DB6BA6F5489C,幸福鸟蛋糕店(惠友店),裕华区翟营大街(近槐安路),114.5545,38.02243,311,甜品店,0,0,餐饮,甜点饮品,0,26.489673272442115
9320,B2094751DB6BA6F5499B,魔锅坊麻辣香锅(友谊北店),新华区友谊北大街宝日大厦1楼,114.4546,38.09597,311,四川菜,0,0,餐饮,中式餐饮,0,20.931461940390534
9321,B2094751DB6BA5F94192,农嫂坛子菜,新华区市庄路400号(近石家庄北站),114.4702,38.06348,311,快餐厅,0,0,餐饮,小吃快餐,0,15.155201241082755
9322,B2094751DB6CA4FF4293,江北小镇,裕华区东二环路东明国际家具北侧(近槐中路),114.57433,38.03148,311,四川菜,0,0,餐饮,中式餐饮,0,162.5307424445792
9323,B2094751DB6CA4F94498,胡同口牛肚王,裕华区雅清街(东岗路口),114.56704,38.01105,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9324,B2094751DB6CA4FA4698,大碗羊汤,新华区和平西路(泰华街口北侧路东),114.46416,38.06088,311,餐饮美食,0,0,餐饮,其它,0,28.893871336564022
9325,B2094751DB6CA4F44098,云之滇原生态火锅(建华店),长安区和平东路398号书香华苑底商(近建华大街),114.54243,38.05376,311,河北菜,2,1,餐饮,中式餐饮,0,80.81712162220249
9326,B2094751DB6DA2FB499A,喜刷刷涮园,裕华区杏花岭二号,114.58004,38.00831,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9327,B2094751DB6DA7F4499B,乖乖吧,裕华区空中花园洋货市场,114.55491,38.01092,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
