poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
B2094656D364A4F5459A,果冻屋(学堂街),,114.50724,38.03841,0311,冷饮店,0,0,餐饮,甜点饮品,0
B2094656D364A4F5459C,炸鸡烤鸡,建设大街,114.51157,38.03453,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D364A4F5469F,小食仙,,114.50772,38.05336,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364A4F54693,山东天天鲜碱面馒头,,114.50771,38.05124,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D364A4F5479D,久久丫鸭颈王(建设北大街),,114.51148,38.04746,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D364A4F54793,瑞婆婆滋补汤月子汤,,114.50995,38.05078,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364A4F5489C,图书大厦中山美食城,,114.51278,38.04334,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFC4093,聚味香川菜馆,,114.52029,38.05095,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D364ABFC419C,御品阁,中山东路289号长安广场2层,114.5209,38.04313,0311,综合酒楼,0,0,餐饮,中式餐饮,0
B2094656D364ABFC4298,陈记驴肉火烧白洋淀小吃,,114.52313,38.04973,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D364ABFC429C,烧鸡熏肉老作坊总店,,114.52738,38.05039,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D364ABFC429D,天隆绿豆饼,,114.52635,38.0478,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D364ABFC489E,老姬家腊汁肉夹馍(建设北大街),,114.51219,38.0615,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFD4199,全惠祥快餐,,114.54638,38.01708,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D364ABFD4192,山西烧饼(东王街),,114.54036,38.01318,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D364ABFD4593,砂锅米线馆,,114.51574,38.01287,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFD479E,乡村家常菜,,114.52684,38.0056,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFD4792,牛肉板面(塔南路),,114.52767,38.00605,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFD4793,老碗居,,114.52748,38.00561,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFD489C,香满园饺子,,114.52401,38.0083,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFE4392,牛肉拉面板面(建通街),,114.51036,38.01261,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABFF4993,香君狗肉馆(槐安东路),,114.54315,38.02272,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D364ABF5499B,吴裕泰(谈固店),长安区中山东路532号,114.53246,38.0431,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D364AAFD469F,美食坊(城角街),,114.44427,38.02285,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAFD489C,湘菜,,114.47767,38.01539,0311,湖南菜,0,0,餐饮,中式餐饮,0
B2094656D364AAFD499A,拉面馆,,114.4783,38.01882,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAFD499F,天津小笼包,,114.49755,38.0116,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAFE4492,广平餐厅(广平街),,114.47336,38.02214,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAF94992,龙泉山庄,,114.44428,38.02006,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAFA4199,城市小厨,,114.47161,38.05551,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAFA419C,燕子满意快餐,,114.44376,38.0266,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D364AAFA4192,老扁包子烧烤,,114.51221,38.06086,0311,清真餐馆,0,0,餐饮,中式餐饮,0
B2094656D364AAFA429F,川沪食府,,114.49725,38.0175,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D364AAFA439B,正宗山西手工硬面馒头坊,,114.46957,38.01607,0311,餐饮美食,0,0,餐饮,其它,0
