OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,C1km,C2km,C3km
1954,B2094753DA6EA1FD439F,四十中宿舍,建设大街与裕华路交叉口附近,114.513502,38.03278,311,住宅区,0,0,小区,376,1853,3310
1955,B2094753DA6EA1FD449D,41中宿舍,友谊大街与工农路交叉口,114.469836,38.033,311,住宅区,1,0,小区,212,1204,2514
1956,B2094753DA6EA1FD469B,66455部队干休所,西二环与槐安路交口,114.438057,38.024954,311,住宅区,1,0,小区,159,629,1047
1957,B2094753DA6EA1FE4292,西古城新村,正定大街四水厂路,114.521377,38.088618,311,住宅区,0,0,小区,129,303,519
1958,B2094753DA6EA1FE4792,铁城柏林园,中华北大街与柏林路交口,114.479814,38.075207,311,住宅区,0,0,小区,182,614,1358
1959,B2094753DA6EA1FE499B,枫丹华庭,丰收路68号,114.524724,38.070089,311,住宅区,10,7,小区,87,462,1277
1960,B2094753DA6EA1FE499E,国瑞城,建设北大街与胜利北大街交叉口,114.511099,38.072918,311,住宅区,1,0,小区,174,512,1338
1961,B2094753DA6EA1FF4292,元北小区,大经街与元北路交叉口,114.499522,38.026966,311,住宅区,0,0,小区,210,1221,2981
1962,B2094753DA6EA2F9419A,42中宿舍,文苑街联盟路交口,114.465458,38.080747,311,住宅区,0,0,小区,114,523,1022
1963,B2094753DA6EA2F9439B,54所宿舍,新华路与虹光街交叉口,114.441018,38.046705,311,住宅区,1,1,小区,179,602,1331
1964,B2094753DA6EA2F9449C,明珠苑,北二环红星街口路北,114.490371,38.085628,311,住宅区,0,0,小区,61,394,893
1965,B2094753DA6EA2F94792,庄北小区,胜利北大街北方大厦南侧,114.52112,38.087807,311,住宅区,0,0,小区,125,312,542
1966,B2094753DA6EA2FA4299,体育大街住宅,体育大街与光华路交口,114.53629,38.058601,311,住宅区,0,0,小区,58,706,2057
1967,B2094753DA6EA2FA4393,飞机制造厂宿舍,北二环与红星街交叉口,114.492742,38.078864,311,住宅区,0,0,小区,139,491,1181
1968,B2094753DA6EA2FA4499,种子机械厂宿舍,胜利大街7420对面,114.453989,38.067825,311,住宅区,0,0,小区,164,630,1239
1969,B2094753DA6EA2FA469F,司法厅宿舍,工农路与城角街交叉口,114.445953,38.030093,311,住宅区,0,0,小区,322,750,1390
1970,B2094753DA6EA2FA479D,都市桃园,北二环与胜利北街交叉口,114.513159,38.087655,311,住宅区,0,0,小区,103,359,645
1971,B2094753DA6EA2FB449F,碧水绣城,中华大街与北二环交叉口,114.478483,38.082453,311,住宅区,0,0,小区,117,474,986
1972,B2094753DA6EA1FF479A,天河小区,友谊北大街与北二环交叉口,114.455802,38.088212,311,住宅区,0,0,小区,61,268,606
1973,B2094753DA6EA1F84093,天朗家园,北二环与红星街交口,114.49213,38.083686,311,住宅区,0,0,小区,73,408,978
1974,B2094753DA6EA1F8439C,滨东小区,师范街166号,114.466091,38.026738,311,住宅区,0,0,小区,150,987,2073
1975,B2094753DA6EA1F84598,理想城,胜利北大街北侧,114.520798,38.091961,311,住宅区,0,0,小区,117,232,453
1976,B2094753DA6EA1F84592,8130厂宿舍,裕华西路与城角街交叉口西北角,114.443829,38.035028,311,住宅区,0,0,小区,308,750,1302
1977,B209475DD46EABFA4698,石家庄福清怡园社区,,114.46603,38.03849,311,住宅区,0,0,小区,231,1343,2465
1978,B2094752D56CA6FF489F,东胜紫御府,桥西区工农路与苑东街交口路西,114.417994,38.031648,311,住宅区,4,2,小区,19,122,467
1979,B2094752D56CA6FA449D,西溪诚园,桥西区西二环与玉村南路西行500米,114.436255,38.007931,311,住宅区,4,3,小区,10,177,627
1980,B2094752D56CA5FC459C,翠堤春晓,桥西区槐安西路与时光街交叉口西北角,114.427886,38.024971,311,住宅区,0,0,小区,56,304,790
1981,B2094752D56CA5FA489D,澜庭,胜利北大街与五七路北行300米路东滹沱河小区内,114.526291,38.098091,311,住宅区,0,0,小区,67,150,335
1982,B2094752D56CAAFF489A,熙悦,联盟路与农机街交口南行200米路西,114.497538,38.076744,311,住宅区,0,0,小区,136,516,1248
1983,B2094750D564A0F4439F,财富天下,胜利北大街289号，260医院北行100米路西,114.516163,38.083939,311,住宅区,0,0,小区,145,370,724
1984,B2094750D564A7FF4098,雨荷水岸,新华区中华北大街与古城西路交口东行200米路南,114.478655,38.102144,311,住宅区,0,0,小区,39,112,319
1985,B2094750D564A7FA4199,乐福嘉园,友谊南大街与振岗路交叉口西行100米,114.448357,38.019849,311,住宅区,0,0,小区,243,727,1237
1986,B2094750D564A6FC489D,乾门,中华北大街与誉宏路交叉口西北角,114.477346,38.088601,311,住宅区,1,0,小区,91,326,750
1987,B2094750D564A6FD479D,万佳壹街区,新华维明北大街与永泰街交叉口东北角,114.469428,38.054149,311,住宅区,0,0,小区,317,1256,2354
1988,B2094750D564A6FB479B,古运码头二期,胜利北大街329号，省胸科医院对面,114.520669,38.086878,311,住宅区,0,0,小区,122,321,565
1989,B2094750D564A5FD4093,柏林世贸中心,新华区中华北大街与柏林北路交叉口,114.478376,38.076499,311,住宅区,0,0,小区,172,604,1302
1990,B2094750D564A4F9409E,爱琴海,长安区丰收路(近建设大街),114.530282,38.078822,311,住宅区,0,0,小区,63,317,649
1991,B2094750D564A4F54592,格调春天,石家庄市新石南路88号(维明大街与新石南路交叉口东北角),114.468289,38.008592,311,住宅区,3,3,小区,222,480,952
1992,B2094750D564ABF5449D,桃园丽景城,北二环与体育大街交叉口西北角,114.530067,38.079447,311,住宅区,1,1,小区,52,331,625
1993,B2094750D56AAAFB449E,乐活时尚广场,裕华路与友谊大街交口西南角，益友百货西邻,114.452133,38.035112,311,住宅区,6,3,小区,351,883,1990
1994,B2094750D56BA2FB499C,丽景国际商务中心,新华区新华路与靶场街交口东北角(华业建材市场对过),114.449172,38.049071,311,住宅区,0,0,小区,160,780,1764
1995,B2094750D56BA1F84599,坤景园,友谊大街与振岗路交口西行200米路南(以岭医院正北),114.45223,38.021219,311,住宅区,0,0,小区,264,807,1345
1996,B2094750D56BA0FB449C,康桥郡,南二环与石铜路交叉口东南,114.446391,38.005293,311,住宅区,0,0,小区,60,323,709
1997,B2094750D56BA7FE4692,金玉小区,桥西区城角街与育新路交叉口西行100米路北,114.443829,38.012005,311,住宅区,1,0,小区,85,432,918
1998,B2094750D56BA7FF449D,卓达上院,西二环与新石北路交口东南角,114.438746,38.018041,311,住宅区,7,3,小区,74,492,977
1999,B2094750D56BA5FB4193,四季福园,桥西区中华大街和新石中路交口西行500米,114.461454,38.015573,311,住宅区,0,0,小区,250,700,1251
2000,B2094750D56BA4F5459D,蓝山印象,西二环与振岗路交汇处西行100米路南,114.43634,38.021557,311,住宅区,0,0,小区,120,461,953
2001,B2094750D56BABF8479D,锦运名都,桥东胜利北大街客运站东侧,114.510155,38.072471,311,住宅区,0,0,小区,174,523,1368
2002,B2094750D56BABF84899,阳光里,新华西三庄街与警安路交叉口西行200米路南,114.44796,38.095018,311,住宅区,0,0,小区,29,115,338
2003,B2094750D564A3F9499C,尚峰汇,槐安路与友谊大街交口南行500米,114.452348,38.024244,311,住宅区,0,0,小区,274,849,1487
2004,B2094750D564A3FB4198,国际总部花园,胜利大街与翠屏路交口西北,114.52054,38.114368,311,住宅区,0,0,小区,3,38,152
2005,B2094750D564A3FB4999,信通公寓,中华北大街与聚新路交叉口东行300米路北(信通花园西南角),114.485221,38.065612,311,住宅区,0,0,小区,175,876,2184
2006,B2094750D564A2FD4992,银都之星公馆,石家庄义西街与石纺路交叉口西南角,114.501686,38.077698,311,住宅区,0,0,小区,139,486,1132
2007,B2094750D569ABFF4493,天润家园,吴家庄(工人街与义北路交口西北角),114.502248,38.072707,311,住宅区,0,0,小区,153,581,1383
2008,B2094750D569AAFF4899,西城印象,槐安路与西二环交口附近,114.430368,38.029919,311,住宅区,0,0,小区,75,469,868
2009,B2094750D569AAF94998,柳阳河畔,胜利北大街与石津南路交叉口西行900米(胸科医院西临),114.519062,38.093252,311,住宅区,0,0,小区,112,206,449
2010,B2094750D569AAFA4298,西部枫景傲城,桥西育新路与城角街交口西行100米路南,114.442949,38.012022,311,住宅区,1,1,小区,65,432,893
