OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
1086,B209475CD064A3F44393,云之滇原生态火锅 湘江道店,湘江道36号苹果城(近五十四中),114.639229999999998,38.033560000000001,311,河北菜,0,0,餐饮,中式餐饮,0
1087,B209475CD06FA0FA4093,吉祥混沌,学苑路(近石家庄学院),114.589380000000006,38.013829999999999,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1088,B209475CD068A2FA469A,旺福捞,藁城市良村开发区安东街,114.682720000000003,38.028170000000003,311,火锅店,0,0,餐饮,中式餐饮,0
1089,B209475CD068A5FE4699,谷养道,长江大道158号,114.623400000000004,38.038159999999998,311,火锅店,0,0,餐饮,中式餐饮,0
1090,B209475CD068ABFF469B,砰砰凉,栾城县新开街,114.683760000000007,38.015810000000002,311,快餐厅,0,0,餐饮,小吃快餐,0
1091,B209475CD06DA3FB489B,野生大鱼坊 水榭花都店,开发区闽江到水榭花都北门,114.600549999999998,38.028370000000002,311,东北菜,1,0,餐饮,中式餐饮,0
1092,B209475CD06DA3FB4893,老羊倌,珠峰大街水榭花都63-66号商铺(近闽江道),114.601630000000000,38.024479999999997,311,火锅店,0,0,餐饮,中式餐饮,0
1093,B209475CD06DA5F9479C,米莎贝尔 新开街店,新开街(近鑫源道),114.683768200000003,38.015814300000002,311,甜品店,0,0,餐饮,甜点饮品,0
1094,B209475CD06EA5FF439F,乌苏里 江水榭花都店,开发区闽江道水榭花都北门,114.600549999999998,38.028370000000002,311,海鲜酒楼,1,1,餐饮,中式餐饮,0
1095,B209475CD06EA4F9489F,北桥饭店,海南路北席小区附近,114.684479999999994,38.034309999999998,311,河北菜,0,0,餐饮,中式餐饮,0
1096,B209475CD36AA6F8429D,大清花海鲜饺子城,珠峰大街珠峰国际花园内(裕华路口),114.601810000000000,38.029840000000000,311,东北菜,1,1,餐饮,中式餐饮,0
1097,B209475CD36FA1FB4799,比格比萨自助 东开发区店,长江大道(近珠峰大街),114.603600000000000,38.038060000000002,311,自助,0,0,餐饮,小吃快餐,0
1098,B209475CD36FA0FE4798,天天红大铜锅,闽江道69号(珠峰大街西侧),114.602649999999997,38.028300000000002,311,火锅店,0,0,餐饮,中式餐饮,0
1099,B209475CD36FA6FC4292,地瓜坊,湘江大道36号苹果城底商,114.606840000000005,38.032330000000002,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
1100,B209475CD36FA4FF489A,新派川菜坊,光明街29号,114.647800000000004,38.049810000000001,311,四川菜,0,0,餐饮,中式餐饮,0
