OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1270,B2094656D365ABFF4099,石家庄市燃料公司宿舍(东门),,114.511690000000002,38.031419999999997,311,住宅区,0,0,小区
1271,B2094656D365ABF8439C,新华服装厂宿舍,中华北大街173,114.478449999999995,38.061660000000003,311,住宅区,8,0,小区
1272,B2094656D365ABF8459D,石家庄铁路地区第九单身职工宿舍,,114.484909999999999,38.055349999999997,311,住宅区,0,0,小区
1273,B2094656D368AAFB489B,北焦宿舍楼二号院,电大街69,114.459029999999998,38.065600000000003,311,住宅区,1,0,小区
1274,B2094656D369A0FA4992,世纪康居,平安南大街46,114.500960000000006,38.031190000000002,311,住宅区,0,0,小区
1275,B2094656D369A6F9489F,制镜厂宿舍,南长街49,114.484909999999999,38.032420000000002,311,住宅区,1,1,小区
1276,B2094656D369A6F9489C,宝仓苑,南长街49,114.484909999999999,38.032409999999999,311,住宅区,3,1,小区
1277,B2094656D369A6FA449A,二印生活小区,槐安西路23,114.483649999999997,38.025410000000001,311,住宅区,1,0,小区
1278,B2094656D36AA7F54499,铁路五十四宿舍,,114.502759999999995,38.012659999999997,311,住宅区,177,118,小区
1279,B2094656D36AABF84393,科技厅生活区,青园街225,114.518709999999999,38.025919999999999,311,住宅区,154,123,小区
1280,B2094656D36AAAF8419E,石家庄建设集团有限公司宿舍(石家庄市直机关幼儿园南),休门街62,114.506159999999994,38.027079999999998,311,住宅区,0,0,小区
1281,B209475DD768A6F84498,凌透花园2期,石丰路与天山大街北延线西北角,114.500884999999997,38.043765000000000,311,住宅区,0,0,小区
1282,B209475DD768A6FE4499,鑫界9号院,石家庄市桥西区时光街和振岗路交口,114.428894479999997,38.021556490000002,311,住宅区,2,1,小区
1283,B209475DD768A6FD409B,旺角国际,红旗大街与新石北路交口西行40米路南,114.478225710000004,38.029162659999997,311,住宅区,0,0,小区
1284,B2094656D36BA0F54693,二毛宿舍,,114.520110000000003,38.010770000000001,311,住宅区,20,10,小区
1285,B2094656D36BA7F44099,石家庄市城建职工中等专业学校宿舍,,114.507260000000002,38.019440000000003,311,住宅区,0,0,小区
1286,B2094656D364A2FC4698,东风小区(休门街),,114.505759999999995,38.026530000000001,311,住宅区,225,8,小区
1287,B2094656D36BABFD449F,石家庄市石棉制品厂宿舍,兴苑街29,114.537670000000006,38.026150000000001,311,住宅区,2,2,小区
1288,B2094656D36BABFD459B,石家庄市无线电三厂宿舍,兴苑街39,114.537850000000006,38.024560000000001,311,住宅区,2,0,小区
1289,B2094656D364A4FB409D,元南小区市土地局宿舍,建胜路26,114.498450000000005,38.019309999999997,311,住宅区,2,1,小区
1290,B2094656D364A4FB4093,胜利小区明珠园(南门),,114.492789999999999,38.011740000000003,311,住宅区,1,0,小区
1291,B2094656D364AAFE489D,食品二厂宿舍(西门),中华北大街193,114.477699999999999,38.065899999999999,311,住宅区,0,0,小区
1292,B2094656D364AAF94799,东风小区(东门),,114.506600000000006,38.026649999999997,311,住宅区,0,0,小区
1293,B2094656D364AAFF4198,商标印刷厂工艺美术总公司宿舍(东门),,114.501480000000001,38.016950000000001,311,住宅区,0,0,小区
1294,B2094656D364ABF8449A,河北省植保站宿舍,,114.537670000000006,38.028089999999999,311,住宅区,0,0,小区
1295,B2094656D06CA2F54198,西美小区,七星桥,114.563130000000001,38.022860000000001,311,住宅区,665,326,小区
